"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3060","306017","2","3",12.1989757718429,8.58043473591159,11.5204349748923,"2","2"
"3060","306018","2","5",10.0513044784083,9.7682569678895,14.4125643485298,"2","2"
"3060","306019","1","5",13.5914596445788,7.82291791627282,12.4267110519204,"2","2"
"3060","306020","2","4",14.9369164200495,5.9649846515375,14.5508827364205,"2","2"
"3061","306101","1","4",13.1810136165265,11.6172255365345,13.1435041166565,"2","2"
"3061","306102","1","4",11.3765303042273,8.69473461106419,12.072794768067,"2","2"
"3061","306103","1","6",14.2281792504841,6.78749551783167,14.4846712510865,"2","2"
"3061","306104","1","5",13.1122139263677,11.85478998293,13.2549883067139,"2","2"
"3061","306105","1","4",13.4558574310389,14.7369397759935,14.1568610207815,"2","2"
"3061","306106","2","4",10.2257805225347,8.97264018986657,9.93330575763358,"2","2"
"3061","306107","1","3",13.2012327979091,5.9649846515375,10.1554791384385,"2","2"
"3061","306108","1","3",14.903431608124,11.7315254116871,14.7259777674576,"2","2"
"3061","306109","1","5",14.1995870461671,8.69473461106419,12.3382397497149,"2","2"
"3061","306110","2","4",12.937604791376,14.7078045136997,10.8885816374434,"2","2"
"3061","306111","2","5",11.8100485708239,11.5768844041277,11.8969710194241,"2","2"
"3061","306113","1","3",14.5058643538892,11.3527670018677,14.7180216703321,"2","2"
"3061","306114","2","3",NA,NA,NA,"2","2"
"3061","306115","2","5",11.1872123291103,12.0071898164668,15.1156097708794,"2","2"
"3061","306116","1","4",11.1666062910023,9.5172454773583,12.8279571429423,"2","2"
"3061","306117","2","5",NA,NA,12.6152958804632,"2","2"
"3061","306119","2","4",13.3497255535355,9.5172454773583,11.8954181625592,"2","2"
"3061","306120","1","4",15.1262343951665,5.9649846515375,11.2662537037369,"2","2"
"3062","306201","2","5",14.0388612753671,5.9649846515375,12.9386912703176,"2","2"
"3062","306202","2","6",10.4771755138941,7.29175967291664,13.5220270590445,"2","2"
"3062","306203","1","5",14.2281792504841,8.4571701646686,12.9395534156356,"2","2"
"3062","306204","1","4",12.6798622145566,8.97264018986657,11.4568550903456,"2","2"
"3062","306205","1","4",11.5439543638546,9.5172454773583,12.2024095410182,"2","2"
"3062","306206","1","3",11.3765303042273,9.5172454773583,13.2108641501665,"2","2"
"3062","306207","1","4",11.5192649373458,10.4518150447825,11.2662537037369,"2","2"
"3062","306208","1","4",11.3765303042273,11.7023901493933,13.9043696257203,"2","2"
"3062","306209","2","3",9.86198650329126,7.43071246231784,12.4448871731973,"2","2"
"3062","306210","1","6",13.795827538673,8.4280349023748,14.6877245893629,"2","2"
"3062","306211","1","5",9.3277253778523,8.08065292887181,12.0841069262763,"2","2"
"3062","306212","1","4",11.3765303042273,7.04074818238546,12.0517598696107,"2","2"
"3062","306213","1","5",15.1262343951665,6.88610717482606,15.2156144353999,"2","2"
"3062","306214","1","5",8.29535589701171,8.49078777500759,13.6396679210356,"2","2"
"3062","306215","1","3",14.2818950120612,9.09590476110957,13.1756980584928,"2","2"
"3062","306216","1","5",11.7869881005487,12.3993952704218,14.4281258196705,"2","2"
"3062","306217","1","2",12.8691801896736,7.19314801592225,9.88960664749007,"2","2"
"3062","306218","1","5",14.0388612753671,8.97264018986657,13.4877500042533,"2","2"
"3062","306219","2","6",11.3009206271605,6.39529006387668,10.9396322366846,"2","2"
"3062","306220","1","4",11.3765303042273,8.97264018986657,9.25736727520996,"2","2"
"3063","306301","1","4",14.8845003041232,8.3025291571092,13.0920577936211,"2","2"
"3063","306302","1","5",10.8538600752241,9.00177545216037,14.1675577670725,"2","2"
"3063","306303","1","2",12.8691801896736,7.43071246231784,10.0639083395401,"2","2"
"3063","306304","1","5",11.766757150897,10.2837269930875,15.5092644957646,"2","2"
"3063","306306","2","5",8.90430214232305,10.0259919804885,13.9722813599627,"2","2"
"3063","306307","1","6",11.3765303042273,11.7023901493933,11.9808324884015,"2","2"
"3063","306308","2","3",11.3765303042273,5.9649846515375,15.5092644957646,"2","2"
"3063","306309","2","4",14.7157883671142,9.2483045946464,12.5100878920157,"2","2"
"3063","306310","1","5",11.2628220061771,10.4383680006469,13.4566969047995,"2","2"
"3063","306311","1","4",13.3015319014847,5.9649846515375,14.02745858337,"2","2"
"3063","306312","1","3",11.1666062910023,8.84713444460098,12.2024095410182,"2","2"
"3063","306313","1","4",10.995439921826,9.12504002340337,12.2633961546757,"2","2"
"3063","306314","1","6",10.5308912754712,9.09590476110957,15.5092644957646,"2","2"
"3063","306316","1","4",8.42967023316989,9.5172454773583,12.0875724060328,"2","2"
"3063","306317","1","3",13.9864451594408,14.9857100925021,13.9133764959171,"2","2"
